Policy_exist,Education_level,Trust_Musis_Recommendation,Trust_Echo,Trust_Work_Eval,Trust_Finance,Trust_Car,Trust_Medical,Adoption_personal,Adoption_Home,Adoption_Workplace,Adoption_School,Adoption_Government,Adoption_Business,Concern_Privacy,Concern_Safety,Concern_Discrimination,Concern_Injustice,Concern_Job,Concern_Long_Term_Social,,Policy_exist,Education_level,Trust_Musis_Recommendation,Trust_Echo,Trust_Work_Eval,Trust_Finance,Trust_Car,Trust_Medical,Adoption_personal,Adoption_Home,Adoption_Workplace,Adoption_School,Adoption_Government,Adoption_Business,Concern_Privacy,Concern_Safety,Concern_Discrimination,Concern_Injustice,Concern_Job,Concern_Long_Term_Social,,Policy_exist,Education_level,Trust_Musis_Recommendation,Trust_Echo,Trust_Work_Eval,Trust_Finance,Trust_Car,Trust_Medical,Adoption_personal,Adoption_Home,Adoption_Workplace,Adoption_School,Adoption_Government,Adoption_Business,Concern_Privacy,Concern_Safety,Concern_Discrimination,Concern_Injustice,Concern_Job,Concern_Long_Term_Social
0,2,3,2,3,4,4,4,4,4,3,4,4,4,5,3,2,2,2,3,,0,3,4,3,3,4,4,2,4,4,4,3,3,4,3,2,4,3,2,3,,0,4,1,1,1,1,1,1,4,3,3,5,3,2,5,5,5,3,1,3
1,2,5,4,3,5,5,5,4,4,4,4,5,5,3,2,2,2,1,2,,1,3,4,4,4,3,5,4,3,4,4,5,3,4,3,2,3,2,2,3,,1,4,1,1,1,1,1,1,3,3,3,5,3,3,3,3,3,3,3,3
0,2,4,2,3,2,2,3,3,3,4,5,4,4,3,3,2,2,5,3,,0,3,4,1,2,4,3,4,4,1,4,4,4,4,5,5,4,5,4,5,,0,4,3,1,2,1,2,2,3,3,4,5,2,3,4,4,3,4,4,3
1,2,4,3,3,4,3,3,4,4,4,5,5,5,3,3,1,2,4,1,,1,3,5,3,4,5,4,5,2,1,4,5,5,5,4,3,4,4,4,4,,1,4,4,2,3,3,5,3,4,4,4,5,3,3,3,2,2,3,4,2
0,2,1,2,1,2,2,3,3,2,3,3,2,3,5,5,5,5,3,3,,0,3,3,2,1,1,4,3,4,1,2,4,3,4,5,4,4,4,5,3,,0,4,2,2,1,1,1,2,4,2,1,1,1,4,3,4,4,4,2,4
1,2,4,4,3,4,4,4,4,4,4,4,4,5,5,5,2,2,1,2,,1,3,3,3,2,4,4,2,4,4,4,4,4,4,3,2,2,2,2,2,,1,4,2,2,1,4,4,3,4,4,4,2,3,4,3,4,3,4,3,2
0,2,3,4,2,4,2,2,4,3,3,3,2,2,4,4,4,4,2,2,,0,3,4,5,3,4,2,3,4,4,5,5,5,5,4,3,1,3,2,2,,1,4,5,2,3,4,5,4,4,2,4,4,4,5,3,2,2,2,3,3
1,2,3,4,2,4,3,2,4,3,3,4,2,2,4,4,4,4,2,3,,1,3,4,4,2,3,2,4,3,2,3,3,3,3,5,5,3,3,4,3,,1,4,1,1,1,1,1,1,3,2,4,2,3,4,5,5,4,4,1,2
0,2,2,1,1,1,1,1,1,1,2,2,2,2,5,5,4,4,5,4,,1,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,5,3,,1,4,5,1,1,1,2,1,1,1,1,5,1,1,5,5,5,5,5,5
1,2,4,4,4,5,5,3,4,4,4,4,4,4,2,2,1,2,1,2,,,,3.777777778,3.111111111,2.666666667,3.444444444,3.555555556,3.444444444,3.444444444,2.666666667,3.666666667,4,3.666666667,4,3.888888889,3.222222222,3.111111111,3.222222222,3.333333333,3.111111111,,,,2.666666667,1.444444444,1.555555556,1.888888889,2.444444444,2,3.333333333,2.666666667,3.111111111,3.777777778,2.555555556,3.222222222,3.777777778,3.777777778,3.444444444,3.555555556,2.888888889,3
0,2,4,2,1,3,5,3,4,3,4,5,3,4,4,2,4,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3.363636364,2.909090909,2.363636364,3.454545455,3.272727273,3,3.545454545,3.181818182,3.454545455,3.909090909,3.363636364,3.636363636,3.909090909,3.454545455,2.818181818,3,2.454545455,2.454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Musis Recommendation App,Personal Assistant Deivce,Work Evaluation,Financial Advice,Self-Driving Car,Medical Diagnose,Average,,Personal Device,Home,Workplace,School,Government,Business,Average,,Privacy,Safety,Discrimination,Injustice,Job Security,Long-Term Social,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bachelor,3.363636364,2.909090909,2.363636364,3.454545455,3.272727273,3,3.060606061,Bachelor,3.545454545,3.181818182,3.454545455,3.909090909,3.363636364,3.636363636,3.515151515,Bachelor,3.909090909,3.454545455,2.818181818,3,2.454545455,2.454545455,3.015151515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master,3.777777778,3.111111111,2.666666667,3.444444444,3.555555556,3.444444444,3.333333333,Master,3.444444444,2.666666667,3.666666667,4,3.666666667,4,3.574074074,Master,3.888888889,3.222222222,3.111111111,3.222222222,3.333333333,3.111111111,3.314814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ph.D.,2.666666667,1.444444444,1.555555556,1.888888889,2.444444444,2,2,Ph.D.,3.333333333,2.666666667,3.111111111,3.777777778,2.555555556,3.222222222,3.111111111,Ph.D.,3.777777778,3.777777778,3.444444444,3.555555556,2.888888889,3,3.407407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
